Тип жилья,общая площадь,цена в рублях,ближайшее метро,расстояние до метро,жилая площадь,высота потолков,этаж
квартира,31.40,2 500 тыс. руб,Проспект Ветеранов,19.8 км,17.70,2.50,1/5
квартира,28.20,2 550 тыс. руб,Проспект Ветеранов,22.2 км,15.90,2.55,1/5
Студия,27.00,2 600 тыс. руб,Проспект Ветеранов,17.3 км,16.34,не известен,2/5
квартира,31.00,2 700 тыс. руб,Автово,19.7 км,17.00,2.53,4/5
квартира,29.20,2 740 тыс. руб,Автово,20.9 км,16.50,Не известно,5/5
Студия,27.20,2 750 тыс. руб,Автово,18.2 км,18.80,Не известно,1/5
квартира,30.50,2 800 тыс. руб,Автово,19.2 км,17.20,Не известно,3/3
Студия,26.40,2 800 тыс. руб,Беговая,20.4 км,18.70,Не известно,3/5
квартира,30.20,2 800 тыс. руб,Ленинский  проспект,19.7 км,17.60,2.61,3/3
квартира,31.50,2 800 тыс. руб,Балтийская,21.7 км,18.10,2.49,1/3
квартира,30.50,2 850 тыс. руб,Автово,19.2 км,17.20,2.60,3/3
Студия,25.60,2 850 тыс. руб,Проспект Ветеранов,21.7 км,19.30,Не известно,4/5
квартира,31.70,2 850 тыс. руб,Ленинский  проспект,21.2 км,17.80,2.50,1/5
квартира,33.00,2 900 тыс. руб,Проспект Ветеранов,22 км,18.40,Не известно,5/9
Студия,27.30,2 920 тыс. руб,Проспект Ветеранов,17.9 км,18.88,Не известно,4/5
квартира,29.00,2 989 тыс. руб,Автово,22.2 км,16.40,2.57,3/5
Студия,27.30,3 000 тыс. руб,Ленинский  проспект,18.5 км,18.00,2.70,5/5
квартира,31.10,3 000 тыс. руб,Автово,19.8 км,18.20,2.56,3/5
квартира,32.40,3 000 тыс. руб,Проспект Ветеранов,22.3 км,18.50,Не известно,6/7
квартира,34.00,3 020 тыс. руб,Автово,22.5 км,18.00,2.60,1/5
квартира,32.80,3 050 тыс. руб,Автово,19.6 км,17.80,не известен,9/10
Студия,27.00,3 050 тыс. руб,Проспект Ветеранов,17.7 км,16.00,не известен,3/5
Студия,25.50,3 050 тыс. руб,Проспект Ветеранов,17.9 км,18.40,не известен,4/5
Студия,26.80,3 050 тыс. руб,Автово,17.9 км,18.00,2.60,1/5
Студия,30.50,3 090 тыс. руб,Ленинский  проспект,18.2 км,16.80,Не известно,2/5
квартира,34.90,3 100 тыс. руб,Проспект Ветеранов,18.2 км,17.50,2.53,4/5
квартира,29.00,3 100 тыс. руб,Ленинский  проспект,20.1 км,16.40,2.50,5/5
квартира,31.00,3 100 тыс. руб,Проспект Ветеранов,20.8 км,17.50,2.50,1/5
квартира,30.00,3 150 тыс. руб,Ленинский  проспект,19.7 км,18.00,2.60,2/5
квартира,35.60,3 150 тыс. руб,Ленинский  проспект,22.9 км,22.00,2.90,1/2
квартира,43.00,3 200 тыс. руб,Ленинский  проспект,19.4 км,27.00,Не известно,1/3
квартира,36.50,3 200 тыс. руб,Автово,22.6 км,17.70,2.50,5/7
квартира,32.30,3 200 тыс. руб,Проспект Ветеранов,20.3 км,20.50,2.90,3/3
квартира,37.20,3 250 тыс. руб,Автово,22.5 км,17.80,2.60,1/6
Студия,30.80,3 300 тыс. руб,Проспект Ветеранов,22.2 км,22.10,Не известно,3/5
квартира,34.60,3 300 тыс. руб,Проспект Ветеранов,22.3 км,18.70,2.50,2/7
квартира,34.60,3 300 тыс. руб,Автово,22.8 км,19.10,2.54,3/5
квартира,31.00,3 300 тыс. руб,Автово,18.2 км,14.20,Не известно,2/5
